DATAFLOW,ASGS_2011_STATE_GCCSA_SA4_SA3_SA2,HH_TYPE,PROJ_SERIES,FREQUENCY,TIME_PERIOD,OBS_VALUE,UNIT_MEASURE,OBS_STATUS,OBS_COMMENT
ABS:ABS_HH_PROV(1.0.0),9OTER,1_2,1,A,2021,1188,,,
ABS:ABS_HH_PROV(1.0.0),9OTER,1_2,1,A,2022,1195,,,
ABS:ABS_HH_PROV(1.0.0),9OTER,1_2,1,A,2023,1203,,,
ABS:ABS_HH_PROV(1.0.0),9OTER,1_2,1,A,2024,1204,,,
ABS:ABS_HH_PROV(1.0.0),9OTER,1_2,1,A,2025,1201,,,
ABS:ABS_HH_PROV(1.0.0),9OTER,1_2,1,A,2026,1202,,,
ABS:ABS_HH_PROV(1.0.0),9OTER,1_2,1,A,2027,1202,,,
ABS:ABS_HH_PROV(1.0.0),9OTER,1_2,1,A,2028,1208,,,
ABS:ABS_HH_PROV(1.0.0),9OTER,1_2,1,A,2029,1211,,,
ABS:ABS_HH_PROV(1.0.0),9OTER,1_2,1,A,2030,1214,,,
ABS:ABS_HH_PROV(1.0.0),9OTER,1_2,1,A,2031,1214,,,
ABS:ABS_HH_PROV(1.0.0),9OTER,1_2,1,A,2032,1218,,,
ABS:ABS_HH_PROV(1.0.0),9OTER,1_2,1,A,2033,1219,,,
ABS:ABS_HH_PROV(1.0.0),9OTER,1_2,1,A,2034,1220,,,
ABS:ABS_HH_PROV(1.0.0),9OTER,1_2,1,A,2035,1212,,,
ABS:ABS_HH_PROV(1.0.0),9OTER,1_2,1,A,2036,1203,,,
ABS:ABS_HH_PROV(1.0.0),9OTER,1_2,1,A,2037,1196,,,
ABS:ABS_HH_PROV(1.0.0),9OTER,1_2,1,A,2038,1192,,,
ABS:ABS_HH_PROV(1.0.0),9OTER,1_2,1,A,2039,1188,,,
ABS:ABS_HH_PROV(1.0.0),9OTER,1_2,1,A,2040,1182,,,
ABS:ABS_HH_PROV(1.0.0),9OTER,1_2,1,A,2041,1173,,,
ABS:ABS_HH_PROV(1.0.0),9OTER,1_2,1,A,2042,1163,,,
ABS:ABS_HH_PROV(1.0.0),9OTER,1_2,1,A,2043,1155,,,
ABS:ABS_HH_PROV(1.0.0),9OTER,1_2,1,A,2044,1148,,,
