DATAFLOW,MEASURE,INDEX,HOUSHOLD_TYPE,REGION,FREQ,TIME_PERIOD,OBS_VALUE,UNIT_MEASURE,BASE_PERIOD,OBS_STATUS,OBS_COMMENT
ABS:LCI(1.0.0),1,10001,P1,50,Q,1998-Q2,46.51,,,,
ABS:LCI(1.0.0),1,10001,P1,50,Q,1998-Q3,46.65,,,,
ABS:LCI(1.0.0),1,10001,P1,50,Q,1998-Q4,46.78,,,,
ABS:LCI(1.0.0),1,10001,P1,50,Q,1999-Q1,46.65,,,,
ABS:LCI(1.0.0),1,10001,P1,50,Q,1999-Q2,46.83,,,,
ABS:LCI(1.0.0),1,10001,P1,50,Q,1999-Q3,47.2,,,,
ABS:LCI(1.0.0),1,10001,P1,50,Q,1999-Q4,47.39,,,,
ABS:LCI(1.0.0),1,10001,P1,50,Q,2000-Q1,47.9,,,,
ABS:LCI(1.0.0),1,10001,P1,50,Q,2000-Q2,48.41,,,,
ABS:LCI(1.0.0),1,10001,P1,50,Q,2000-Q3,50.18,,,,
ABS:LCI(1.0.0),1,10001,P1,50,Q,2000-Q4,50.46,,,,
ABS:LCI(1.0.0),1,10001,P1,50,Q,2001-Q1,51.03,,,,
ABS:LCI(1.0.0),1,10001,P1,50,Q,2001-Q2,51.16,,,,
ABS:LCI(1.0.0),1,10001,P1,50,Q,2001-Q3,51.25,,,,
ABS:LCI(1.0.0),1,10001,P1,50,Q,2001-Q4,51.53,,,,
ABS:LCI(1.0.0),1,10001,P1,50,Q,2002-Q1,51.99,,,,
ABS:LCI(1.0.0),1,10001,P1,50,Q,2002-Q2,52.29,,,,
ABS:LCI(1.0.0),1,10001,P1,50,Q,2002-Q3,52.85,,,,
ABS:LCI(1.0.0),1,10001,P1,50,Q,2002-Q4,53.2,,,,
ABS:LCI(1.0.0),1,10001,P1,50,Q,2003-Q1,53.9,,,,
ABS:LCI(1.0.0),1,10001,P1,50,Q,2003-Q2,53.87,,,,
ABS:LCI(1.0.0),1,10001,P1,50,Q,2003-Q3,54.23,,,,
ABS:LCI(1.0.0),1,10001,P1,50,Q,2003-Q4,54.56,,,,
ABS:LCI(1.0.0),1,10001,P1,50,Q,2004-Q1,55.23,,,,
ABS:LCI(1.0.0),1,10001,P1,50,Q,2004-Q2,55.61,,,,
ABS:LCI(1.0.0),1,10001,P1,50,Q,2004-Q3,55.94,,,,
ABS:LCI(1.0.0),1,10001,P1,50,Q,2004-Q4,56.38,,,,
ABS:LCI(1.0.0),1,10001,P1,50,Q,2005-Q1,56.73,,,,
ABS:LCI(1.0.0),1,10001,P1,50,Q,2005-Q2,57.27,,,,
ABS:LCI(1.0.0),1,10001,P1,50,Q,2005-Q3,57.9,,,,
ABS:LCI(1.0.0),1,10001,P1,50,Q,2005-Q4,58.15,,,,
ABS:LCI(1.0.0),1,10001,P1,50,Q,2006-Q1,58.78,,,,
ABS:LCI(1.0.0),1,10001,P1,50,Q,2006-Q2,59.82,,,,
ABS:LCI(1.0.0),1,10001,P1,50,Q,2006-Q3,60.55,,,,
ABS:LCI(1.0.0),1,10001,P1,50,Q,2006-Q4,60.64,,,,
ABS:LCI(1.0.0),1,10001,P1,50,Q,2007-Q1,60.87,,,,
ABS:LCI(1.0.0),1,10001,P1,50,Q,2007-Q2,61.67,,,,
ABS:LCI(1.0.0),1,10001,P1,50,Q,2007-Q3,62.21,,,,
ABS:LCI(1.0.0),1,10001,P1,50,Q,2007-Q4,62.82,,,,
ABS:LCI(1.0.0),1,10001,P1,50,Q,2008-Q1,63.94,,,,
ABS:LCI(1.0.0),1,10001,P1,50,Q,2008-Q2,65.22,,,,
ABS:LCI(1.0.0),1,10001,P1,50,Q,2008-Q3,66.05,,,,
ABS:LCI(1.0.0),1,10001,P1,50,Q,2008-Q4,65.61,,,,
ABS:LCI(1.0.0),1,10001,P1,50,Q,2009-Q1,65.46,,,,
ABS:LCI(1.0.0),1,10001,P1,50,Q,2009-Q2,64.73,,,,
ABS:LCI(1.0.0),1,10001,P1,50,Q,2009-Q3,65.37,,,,
ABS:LCI(1.0.0),1,10001,P1,50,Q,2009-Q4,65.85,,,,
ABS:LCI(1.0.0),1,10001,P1,50,Q,2010-Q1,66.75,,,,
ABS:LCI(1.0.0),1,10001,P1,50,Q,2010-Q2,67.6,,,,
ABS:LCI(1.0.0),1,10001,P1,50,Q,2010-Q3,68.42,,,,
ABS:LCI(1.0.0),1,10001,P1,50,Q,2010-Q4,68.85,,,,
ABS:LCI(1.0.0),1,10001,P1,50,Q,2011-Q1,69.99,,,,
ABS:LCI(1.0.0),1,10001,P1,50,Q,2011-Q2,70.65,,,,
ABS:LCI(1.0.0),1,10001,P1,50,Q,2011-Q3,71.08,,,,
ABS:LCI(1.0.0),1,10001,P1,50,Q,2011-Q4,71.09,,,,
ABS:LCI(1.0.0),1,10001,P1,50,Q,2012-Q1,70.82,,,,
ABS:LCI(1.0.0),1,10001,P1,50,Q,2012-Q2,71.14,,,,
ABS:LCI(1.0.0),1,10001,P1,50,Q,2012-Q3,71.58,,,,
ABS:LCI(1.0.0),1,10001,P1,50,Q,2012-Q4,71.63,,,,
ABS:LCI(1.0.0),1,10001,P1,50,Q,2013-Q1,71.52,,,,
ABS:LCI(1.0.0),1,10001,P1,50,Q,2013-Q2,71.64,,,,
ABS:LCI(1.0.0),1,10001,P1,50,Q,2013-Q3,72.25,,,,
ABS:LCI(1.0.0),1,10001,P1,50,Q,2013-Q4,72.52,,,,
ABS:LCI(1.0.0),1,10001,P1,50,Q,2014-Q1,73,,,,
ABS:LCI(1.0.0),1,10001,P1,50,Q,2014-Q2,73.28,,,,
ABS:LCI(1.0.0),1,10001,P1,50,Q,2014-Q3,73.59,,,,
ABS:LCI(1.0.0),1,10001,P1,50,Q,2014-Q4,73.66,,,,
ABS:LCI(1.0.0),1,10001,P1,50,Q,2015-Q1,73.7,,,,
ABS:LCI(1.0.0),1,10001,P1,50,Q,2015-Q2,73.95,,,,
ABS:LCI(1.0.0),1,10001,P1,50,Q,2015-Q3,74.1,,,,
ABS:LCI(1.0.0),1,10001,P1,50,Q,2015-Q4,74.44,,,,
ABS:LCI(1.0.0),1,10001,P1,50,Q,2016-Q1,74.41,,,,
ABS:LCI(1.0.0),1,10001,P1,50,Q,2016-Q2,74.67,,,,
ABS:LCI(1.0.0),1,10001,P1,50,Q,2016-Q3,74.99,,,,
ABS:LCI(1.0.0),1,10001,P1,50,Q,2016-Q4,75.2,,,,
ABS:LCI(1.0.0),1,10001,P1,50,Q,2017-Q1,75.55,,,,
ABS:LCI(1.0.0),1,10001,P1,50,Q,2017-Q2,75.64,,,,
ABS:LCI(1.0.0),1,10001,P1,50,Q,2017-Q3,76.16,,,,
ABS:LCI(1.0.0),1,10001,P1,50,Q,2017-Q4,76.74,,,,
ABS:LCI(1.0.0),1,10001,P1,50,Q,2018-Q1,77.05,,,,
ABS:LCI(1.0.0),1,10001,P1,50,Q,2018-Q2,77.32,,,,
ABS:LCI(1.0.0),1,10001,P1,50,Q,2018-Q3,77.63,,,,
ABS:LCI(1.0.0),1,10001,P1,50,Q,2018-Q4,78.11,,,,
ABS:LCI(1.0.0),1,10001,P1,50,Q,2019-Q1,78.11,,,,
ABS:LCI(1.0.0),1,10001,P1,50,Q,2019-Q2,78.59,,,,
ABS:LCI(1.0.0),1,10001,P1,50,Q,2019-Q3,78.64,,,,
