DATAFLOW,MEASURE,DATA_ITEM,LOAN_TYPE,LOAN_PURPOSE,LENDER_TYPE,HOUSING_PURPOSE,TSEST,REGION,FREQ,TIME_PERIOD,OBS_VALUE,UNIT_MEASURE,UNIT_MULT,OBS_STATUS,OBS_COMMENT
ABS:LEND_HOUSING(1.1),FIN_NUM,NEWCOMMITS,DV8368,DV8545,TOT,DV5167,10,6,Q,2019-Q3,240,,,,
ABS:LEND_HOUSING(1.1),FIN_NUM,NEWCOMMITS,DV8368,DV8545,TOT,DV5167,10,6,Q,2019-Q4,267,,,,
ABS:LEND_HOUSING(1.1),FIN_NUM,NEWCOMMITS,DV8368,DV8545,TOT,DV5167,10,6,Q,2020-Q1,271,,,,
ABS:LEND_HOUSING(1.1),FIN_NUM,NEWCOMMITS,DV8368,DV8545,TOT,DV5167,10,6,Q,2020-Q2,266,,,,
ABS:LEND_HOUSING(1.1),FIN_NUM,NEWCOMMITS,DV8368,DV8545,TOT,DV5167,10,6,Q,2020-Q3,572,,,,
ABS:LEND_HOUSING(1.1),FIN_NUM,NEWCOMMITS,DV8368,DV8545,TOT,DV5167,10,6,Q,2020-Q4,429,,,,
ABS:LEND_HOUSING(1.1),FIN_NUM,NEWCOMMITS,DV8368,DV8545,TOT,DV5167,10,6,Q,2021-Q1,323,,,,
ABS:LEND_HOUSING(1.1),FIN_NUM,NEWCOMMITS,DV8368,DV8545,TOT,DV5167,10,6,Q,2021-Q2,301,,,,
ABS:LEND_HOUSING(1.1),FIN_NUM,NEWCOMMITS,DV8368,DV8545,TOT,DV5167,10,6,Q,2021-Q3,283,,,,
ABS:LEND_HOUSING(1.1),FIN_NUM,NEWCOMMITS,DV8368,DV8545,TOT,DV5167,10,6,Q,2021-Q4,285,,,,
ABS:LEND_HOUSING(1.1),FIN_NUM,NEWCOMMITS,DV8368,DV8545,TOT,DV5167,10,6,Q,2022-Q1,215,,,,
ABS:LEND_HOUSING(1.1),FIN_NUM,NEWCOMMITS,DV8368,DV8545,TOT,DV5167,10,6,Q,2022-Q2,241,,,,
