DATAFLOW,MEASURE,REGION,FREQ,TIME_PERIOD,OBS_VALUE,UNIT_MEASURE,UNIT_MULT,OBS_STATUS,OBS_COMMENT
ABS:RES_DWELL(1.0.0),3,3GBRI,Q,2002-Q1,185,,,,
ABS:RES_DWELL(1.0.0),3,3GBRI,Q,2002-Q2,182.6,,,,
ABS:RES_DWELL(1.0.0),3,3GBRI,Q,2002-Q3,198,,,,
ABS:RES_DWELL(1.0.0),3,3GBRI,Q,2002-Q4,208,,,,
ABS:RES_DWELL(1.0.0),3,3GBRI,Q,2003-Q1,225,,,,
ABS:RES_DWELL(1.0.0),3,3GBRI,Q,2003-Q2,240,,,,
ABS:RES_DWELL(1.0.0),3,3GBRI,Q,2003-Q3,269,,,,
ABS:RES_DWELL(1.0.0),3,3GBRI,Q,2003-Q4,296.4,,,,
ABS:RES_DWELL(1.0.0),3,3GBRI,Q,2004-Q1,302.7,,,,
ABS:RES_DWELL(1.0.0),3,3GBRI,Q,2004-Q2,305,,,,
ABS:RES_DWELL(1.0.0),3,3GBRI,Q,2004-Q3,305,,,,
ABS:RES_DWELL(1.0.0),3,3GBRI,Q,2004-Q4,310,,,,
ABS:RES_DWELL(1.0.0),3,3GBRI,Q,2005-Q1,312,,,,
ABS:RES_DWELL(1.0.0),3,3GBRI,Q,2005-Q2,312,,,,
ABS:RES_DWELL(1.0.0),3,3GBRI,Q,2005-Q3,314.9,,,,
ABS:RES_DWELL(1.0.0),3,3GBRI,Q,2005-Q4,320,,,,
ABS:RES_DWELL(1.0.0),3,3GBRI,Q,2006-Q1,325,,,,
ABS:RES_DWELL(1.0.0),3,3GBRI,Q,2006-Q2,330,,,,
ABS:RES_DWELL(1.0.0),3,3GBRI,Q,2006-Q3,335,,,,
ABS:RES_DWELL(1.0.0),3,3GBRI,Q,2006-Q4,343.5,,,,
ABS:RES_DWELL(1.0.0),3,3GBRI,Q,2007-Q1,352,,,,
ABS:RES_DWELL(1.0.0),3,3GBRI,Q,2007-Q2,375,,,,
ABS:RES_DWELL(1.0.0),3,3GBRI,Q,2007-Q3,390,,,,
ABS:RES_DWELL(1.0.0),3,3GBRI,Q,2007-Q4,415,,,,
ABS:RES_DWELL(1.0.0),3,3GBRI,Q,2008-Q1,425,,,,
ABS:RES_DWELL(1.0.0),3,3GBRI,Q,2008-Q2,425,,,,
ABS:RES_DWELL(1.0.0),3,3GBRI,Q,2008-Q3,410,,,,
ABS:RES_DWELL(1.0.0),3,3GBRI,Q,2008-Q4,399,,,,
ABS:RES_DWELL(1.0.0),3,3GBRI,Q,2009-Q1,400,,,,
ABS:RES_DWELL(1.0.0),3,3GBRI,Q,2009-Q2,420,,,,
ABS:RES_DWELL(1.0.0),3,3GBRI,Q,2009-Q3,430,,,,
ABS:RES_DWELL(1.0.0),3,3GBRI,Q,2009-Q4,455,,,,
ABS:RES_DWELL(1.0.0),3,3GBRI,Q,2010-Q1,460,,,,
ABS:RES_DWELL(1.0.0),3,3GBRI,Q,2010-Q2,465,,,,
