DATAFLOW,MEASURE,ESTIMATE_TYPE,SEX,SECTOR,INDUSTRY,TSEST,REGION,FREQ,TIME_PERIOD,OBS_VALUE,UNIT_MEASURE,OBS_STATUS,OBS_COMMENT
ABS:AWE(1.0.0),1,1,3,7,E,10,AUS,S,1994-S2,628.4,,,
ABS:AWE(1.0.0),1,1,3,7,E,10,AUS,S,1995-S1,652.8,,,
ABS:AWE(1.0.0),1,1,3,7,E,10,AUS,S,1995-S2,658,,,
ABS:AWE(1.0.0),1,1,3,7,E,10,AUS,S,1996-S1,674,,,
ABS:AWE(1.0.0),1,1,3,7,E,10,AUS,S,1996-S2,707.4,,,
ABS:AWE(1.0.0),1,1,3,7,E,10,AUS,S,1997-S1,702.3,,,
ABS:AWE(1.0.0),1,1,3,7,E,10,AUS,S,1997-S2,703.8,,,
ABS:AWE(1.0.0),1,1,3,7,E,10,AUS,S,1998-S1,721.9,,,
ABS:AWE(1.0.0),1,1,3,7,E,10,AUS,S,1998-S2,707.2,,,
ABS:AWE(1.0.0),1,1,3,7,E,10,AUS,S,1999-S1,731.8,,,
ABS:AWE(1.0.0),1,1,3,7,E,10,AUS,S,1999-S2,703.8,,,
ABS:AWE(1.0.0),1,1,3,7,E,10,AUS,S,2000-S1,704.9,,,
ABS:AWE(1.0.0),1,1,3,7,E,10,AUS,S,2000-S2,738.4,,,
ABS:AWE(1.0.0),1,1,3,7,E,10,AUS,S,2001-S1,694.9,,,
ABS:AWE(1.0.0),1,1,3,7,E,10,AUS,S,2001-S2,751.2,,,
ABS:AWE(1.0.0),1,1,3,7,E,10,AUS,S,2002-S1,773.2,,,
ABS:AWE(1.0.0),1,1,3,7,E,10,AUS,S,2002-S2,802,,,
ABS:AWE(1.0.0),1,1,3,7,E,10,AUS,S,2003-S1,842.8,,,
ABS:AWE(1.0.0),1,1,3,7,E,10,AUS,S,2003-S2,847.3,,,
ABS:AWE(1.0.0),1,1,3,7,E,10,AUS,S,2004-S1,818.4,,,
ABS:AWE(1.0.0),1,1,3,7,E,10,AUS,S,2004-S2,841.9,,,
ABS:AWE(1.0.0),1,1,3,7,E,10,AUS,S,2005-S1,920.4,,,
ABS:AWE(1.0.0),1,1,3,7,E,10,AUS,S,2005-S2,887.1,,,
ABS:AWE(1.0.0),1,1,3,7,E,10,AUS,S,2006-S1,926.4,,,
ABS:AWE(1.0.0),1,1,3,7,E,10,AUS,S,2006-S2,919.7,,,
ABS:AWE(1.0.0),1,1,3,7,E,10,AUS,S,2007-S1,1018.2,,,
ABS:AWE(1.0.0),1,1,3,7,E,10,AUS,S,2007-S2,1036.9,,,
