DATAFLOW,MEASURE,INDEX,TSEST,REGION,FREQ,TIME_PERIOD,OBS_VALUE,UNIT_MEASURE,OBS_STATUS,DECIMALS,OBS_COMMENT,BASE_PERIOD
ABS:CPI(2.0.0),3,30002,10,50,M,2018-09,0.9,,,,,
ABS:CPI(2.0.0),3,30002,10,50,M,2018-10,0.8,,,,,
ABS:CPI(2.0.0),3,30002,10,50,M,2018-11,0.1,,,,,
ABS:CPI(2.0.0),3,30002,10,50,M,2018-12,0.5,,,,,
ABS:CPI(2.0.0),3,30002,10,50,M,2019-01,0.9,,,,,
ABS:CPI(2.0.0),3,30002,10,50,M,2019-02,2.4,,,,,
ABS:CPI(2.0.0),3,30002,10,50,M,2019-03,2.8,,,,,
ABS:CPI(2.0.0),3,30002,10,50,M,2019-04,3.4,,,,,
ABS:CPI(2.0.0),3,30002,10,50,M,2019-05,2.5,,,,,
ABS:CPI(2.0.0),3,30002,10,50,M,2019-06,3.5,,,,,
ABS:CPI(2.0.0),3,30002,10,50,M,2019-07,3,,,,,
ABS:CPI(2.0.0),3,30002,10,50,M,2019-08,4.6,,,,,
ABS:CPI(2.0.0),3,30002,10,50,M,2019-09,4.2,,,,,
ABS:CPI(2.0.0),3,30002,10,50,M,2019-10,3.8,,,,,
ABS:CPI(2.0.0),3,30002,10,50,M,2019-11,4.4,,,,,
ABS:CPI(2.0.0),3,30002,10,50,M,2019-12,4.2,,,,,
ABS:CPI(2.0.0),3,30002,10,50,M,2020-01,4,,,,,
ABS:CPI(2.0.0),3,30002,10,50,M,2020-02,3.4,,,,,
ABS:CPI(2.0.0),3,30002,10,50,M,2020-03,5.9,,,,,
ABS:CPI(2.0.0),3,30002,10,50,M,2020-04,6.8,,,,,
ABS:CPI(2.0.0),3,30002,10,50,M,2020-05,5.8,,,,,
ABS:CPI(2.0.0),3,30002,10,50,M,2020-06,3.8,,,,,
ABS:CPI(2.0.0),3,30002,10,50,M,2020-07,2.6,,,,,
ABS:CPI(2.0.0),3,30002,10,50,M,2020-08,2,,,,,
ABS:CPI(2.0.0),3,30002,10,50,M,2020-09,1.9,,,,,
ABS:CPI(2.0.0),3,30002,10,50,M,2020-10,2.1,,,,,
ABS:CPI(2.0.0),3,30002,10,50,M,2020-11,2.3,,,,,
ABS:CPI(2.0.0),3,30002,10,50,M,2020-12,1.2,,,,,
ABS:CPI(2.0.0),3,30002,10,50,M,2021-01,1.6,,,,,
ABS:CPI(2.0.0),3,30002,10,50,M,2021-02,1.3,,,,,
ABS:CPI(2.0.0),3,30002,10,50,M,2021-03,-2,,,,,
ABS:CPI(2.0.0),3,30002,10,50,M,2021-04,-2.8,,,,,
ABS:CPI(2.0.0),3,30002,10,50,M,2021-05,-0.7,,,,,
ABS:CPI(2.0.0),3,30002,10,50,M,2021-06,0,,,,,
ABS:CPI(2.0.0),3,30002,10,50,M,2021-07,0.9,,,,,
ABS:CPI(2.0.0),3,30002,10,50,M,2021-08,0.5,,,,,
ABS:CPI(2.0.0),3,30002,10,50,M,2021-09,0.7,,,,,
ABS:CPI(2.0.0),3,30002,10,50,M,2021-10,0.6,,,,,
ABS:CPI(2.0.0),3,30002,10,50,M,2021-11,0.9,,,,,
ABS:CPI(2.0.0),3,30002,10,50,M,2021-12,1.7,,,,,
ABS:CPI(2.0.0),3,30002,10,50,M,2022-01,1.8,,,,,
ABS:CPI(2.0.0),3,30002,10,50,M,2022-02,2.2,,,,,
ABS:CPI(2.0.0),3,30002,10,50,M,2022-03,4.3,,,,,
ABS:CPI(2.0.0),3,30002,10,50,M,2022-04,5.2,,,,,
ABS:CPI(2.0.0),3,30002,10,50,M,2022-05,5.6,,,,,
ABS:CPI(2.0.0),3,30002,10,50,M,2022-06,7.3,,,,,
ABS:CPI(2.0.0),3,30002,10,50,M,2022-07,8.5,,,,,
ABS:CPI(2.0.0),3,30002,10,50,M,2022-08,9.5,,,,,
ABS:CPI(2.0.0),3,30002,10,50,M,2022-09,11.7,,,,,
ABS:CPI(2.0.0),3,30002,10,50,M,2022-10,12,,,,,
ABS:CPI(2.0.0),3,30002,10,50,M,2022-11,12,,,,,
ABS:CPI(2.0.0),3,30002,10,50,M,2022-12,13,,,,,
ABS:CPI(2.0.0),3,30002,10,50,M,2023-01,12.6,,,,,
ABS:CPI(2.0.0),3,30002,10,50,M,2023-02,12.5,,,,,
ABS:CPI(2.0.0),3,30002,10,50,M,2023-03,10.8,,,,,
