DATAFLOW,MEASURE,REGION,FREQ,TIME_PERIOD,OBS_VALUE,UNIT_MEASURE,UNIT_MULT,OBS_STATUS,OBS_COMMENT
ABS:ERP_COMP_Q(1.0.0),3,3,Q,1981-Q2,6.2,,,,
ABS:ERP_COMP_Q(1.0.0),3,3,Q,1981-Q3,4.9,,,,
ABS:ERP_COMP_Q(1.0.0),3,3,Q,1981-Q4,4.8,,,,
ABS:ERP_COMP_Q(1.0.0),3,3,Q,1982-Q1,6.3,,,,
ABS:ERP_COMP_Q(1.0.0),3,3,Q,1982-Q2,6.1,,,,
ABS:ERP_COMP_Q(1.0.0),3,3,Q,1982-Q3,4.8,,,,
ABS:ERP_COMP_Q(1.0.0),3,3,Q,1982-Q4,5.4,,,,
ABS:ERP_COMP_Q(1.0.0),3,3,Q,1983-Q1,6.9,,,,
ABS:ERP_COMP_Q(1.0.0),3,3,Q,1983-Q2,6.9,,,,
ABS:ERP_COMP_Q(1.0.0),3,3,Q,1983-Q3,5.9,,,,
ABS:ERP_COMP_Q(1.0.0),3,3,Q,1983-Q4,5.3,,,,
ABS:ERP_COMP_Q(1.0.0),3,3,Q,1984-Q1,6.4,,,,
ABS:ERP_COMP_Q(1.0.0),3,3,Q,1984-Q2,6.5,,,,
ABS:ERP_COMP_Q(1.0.0),3,3,Q,1984-Q3,5.1,,,,
ABS:ERP_COMP_Q(1.0.0),3,3,Q,1984-Q4,5.1,,,,
ABS:ERP_COMP_Q(1.0.0),3,3,Q,1985-Q1,5.8,,,,
ABS:ERP_COMP_Q(1.0.0),3,3,Q,1985-Q2,6.3,,,,
ABS:ERP_COMP_Q(1.0.0),3,3,Q,1985-Q3,4.5,,,,
ABS:ERP_COMP_Q(1.0.0),3,3,Q,1985-Q4,5.2,,,,
ABS:ERP_COMP_Q(1.0.0),3,3,Q,1986-Q1,5.5,,,,
ABS:ERP_COMP_Q(1.0.0),3,3,Q,1986-Q2,6.5,,,,
ABS:ERP_COMP_Q(1.0.0),3,3,Q,1986-Q3,5.3,,,,
ABS:ERP_COMP_Q(1.0.0),3,3,Q,1986-Q4,5.1,,,,
ABS:ERP_COMP_Q(1.0.0),3,3,Q,1987-Q1,5.6,,,,
ABS:ERP_COMP_Q(1.0.0),3,3,Q,1987-Q2,5.8,,,,
ABS:ERP_COMP_Q(1.0.0),3,3,Q,1987-Q3,4.6,,,,
ABS:ERP_COMP_Q(1.0.0),3,3,Q,1987-Q4,4.6,,,,
ABS:ERP_COMP_Q(1.0.0),3,3,Q,1988-Q1,5.7,,,,
ABS:ERP_COMP_Q(1.0.0),3,3,Q,1988-Q2,5.6,,,,
ABS:ERP_COMP_Q(1.0.0),3,3,Q,1988-Q3,4.8,,,,
ABS:ERP_COMP_Q(1.0.0),3,3,Q,1988-Q4,5.7,,,,
ABS:ERP_COMP_Q(1.0.0),3,3,Q,1989-Q1,5.9,,,,
ABS:ERP_COMP_Q(1.0.0),3,3,Q,1989-Q2,6,,,,
ABS:ERP_COMP_Q(1.0.0),3,3,Q,1989-Q3,4.9,,,,
ABS:ERP_COMP_Q(1.0.0),3,3,Q,1989-Q4,4.9,,,,
ABS:ERP_COMP_Q(1.0.0),3,3,Q,1990-Q1,6.8,,,,
ABS:ERP_COMP_Q(1.0.0),3,3,Q,1990-Q2,7.1,,,,
ABS:ERP_COMP_Q(1.0.0),3,3,Q,1990-Q3,6,,,,
ABS:ERP_COMP_Q(1.0.0),3,3,Q,1990-Q4,5.7,,,,
ABS:ERP_COMP_Q(1.0.0),3,3,Q,1991-Q1,6.4,,,,
ABS:ERP_COMP_Q(1.0.0),3,3,Q,1991-Q2,6.9,,,,
ABS:ERP_COMP_Q(1.0.0),3,3,Q,1991-Q3,5.9,,,,
ABS:ERP_COMP_Q(1.0.0),3,3,Q,1991-Q4,6.1,,,,
ABS:ERP_COMP_Q(1.0.0),3,3,Q,1992-Q1,7,,,,
ABS:ERP_COMP_Q(1.0.0),3,3,Q,1992-Q2,6.8,,,,
ABS:ERP_COMP_Q(1.0.0),3,3,Q,1992-Q3,5.8,,,,
ABS:ERP_COMP_Q(1.0.0),3,3,Q,1992-Q4,6.3,,,,
ABS:ERP_COMP_Q(1.0.0),3,3,Q,1993-Q1,7.1,,,,
ABS:ERP_COMP_Q(1.0.0),3,3,Q,1993-Q2,6.9,,,,
ABS:ERP_COMP_Q(1.0.0),3,3,Q,1993-Q3,6.5,,,,
ABS:ERP_COMP_Q(1.0.0),3,3,Q,1993-Q4,6.4,,,,
ABS:ERP_COMP_Q(1.0.0),3,3,Q,1994-Q1,6.8,,,,
ABS:ERP_COMP_Q(1.0.0),3,3,Q,1994-Q2,6.5,,,,
ABS:ERP_COMP_Q(1.0.0),3,3,Q,1994-Q3,5.6,,,,
ABS:ERP_COMP_Q(1.0.0),3,3,Q,1994-Q4,6.4,,,,
ABS:ERP_COMP_Q(1.0.0),3,3,Q,1995-Q1,7.2,,,,
ABS:ERP_COMP_Q(1.0.0),3,3,Q,1995-Q2,6.7,,,,
ABS:ERP_COMP_Q(1.0.0),3,3,Q,1995-Q3,6.2,,,,
ABS:ERP_COMP_Q(1.0.0),3,3,Q,1995-Q4,6,,,,
ABS:ERP_COMP_Q(1.0.0),3,3,Q,1996-Q1,6.7,,,,
ABS:ERP_COMP_Q(1.0.0),3,3,Q,1996-Q2,6.3,,,,
ABS:ERP_COMP_Q(1.0.0),3,3,Q,1996-Q3,5.6,,,,
ABS:ERP_COMP_Q(1.0.0),3,3,Q,1996-Q4,6.1,,,,
ABS:ERP_COMP_Q(1.0.0),3,3,Q,1997-Q1,6.5,,,,
ABS:ERP_COMP_Q(1.0.0),3,3,Q,1997-Q2,7.4,,,,
ABS:ERP_COMP_Q(1.0.0),3,3,Q,1997-Q3,5.8,,,,
ABS:ERP_COMP_Q(1.0.0),3,3,Q,1997-Q4,5.8,,,,
ABS:ERP_COMP_Q(1.0.0),3,3,Q,1998-Q1,6.6,,,,
ABS:ERP_COMP_Q(1.0.0),3,3,Q,1998-Q2,6.5,,,,
ABS:ERP_COMP_Q(1.0.0),3,3,Q,1998-Q3,5.8,,,,
