DATAFLOW,MEASURE,INDEX,SECTOR,INDUSTRY,TSEST,REGION,FREQ,TIME_PERIOD,OBS_VALUE,UNIT_MEASURE,BASE_PERIOD,OBS_STATUS,OBS_COMMENT
ABS:WPI(1.2.0),2,THRPIB,1,TOT,10,AUS,Q,1997-Q3,,,,,
ABS:WPI(1.2.0),2,THRPIB,1,TOT,10,AUS,Q,1997-Q4,0.9,,,,
ABS:WPI(1.2.0),2,THRPIB,1,TOT,10,AUS,Q,1998-Q1,0.9,,,,
ABS:WPI(1.2.0),2,THRPIB,1,TOT,10,AUS,Q,1998-Q2,0.4,,,,
ABS:WPI(1.2.0),2,THRPIB,1,TOT,10,AUS,Q,1998-Q3,1,,,,
ABS:WPI(1.2.0),2,THRPIB,1,TOT,10,AUS,Q,1998-Q4,0.6,,,,
ABS:WPI(1.2.0),2,THRPIB,1,TOT,10,AUS,Q,1999-Q1,0.6,,,,
ABS:WPI(1.2.0),2,THRPIB,1,TOT,10,AUS,Q,1999-Q2,0.7,,,,
ABS:WPI(1.2.0),2,THRPIB,1,TOT,10,AUS,Q,1999-Q3,1,,,,
ABS:WPI(1.2.0),2,THRPIB,1,TOT,10,AUS,Q,1999-Q4,0.7,,,,
ABS:WPI(1.2.0),2,THRPIB,1,TOT,10,AUS,Q,2000-Q1,0.7,,,,
ABS:WPI(1.2.0),2,THRPIB,1,TOT,10,AUS,Q,2000-Q2,0.6,,,,
ABS:WPI(1.2.0),2,THRPIB,1,TOT,10,AUS,Q,2000-Q3,1.4,,,,
ABS:WPI(1.2.0),2,THRPIB,1,TOT,10,AUS,Q,2000-Q4,0.8,,,,
ABS:WPI(1.2.0),2,THRPIB,1,TOT,10,AUS,Q,2001-Q1,0.7,,,,
ABS:WPI(1.2.0),2,THRPIB,1,TOT,10,AUS,Q,2001-Q2,0.7,,,,
ABS:WPI(1.2.0),2,THRPIB,1,TOT,10,AUS,Q,2001-Q3,1.1,,,,
ABS:WPI(1.2.0),2,THRPIB,1,TOT,10,AUS,Q,2001-Q4,0.7,,,,
